"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"6:59:10.9207756 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 0, Length: 2, Priority: Normal"
"6:59:10.9207986 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 2, Length: 1"
"6:59:10.9208038 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 3, Length: 1"
"6:59:10.9208075 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 4, Length: 4"
"6:59:10.9208109 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 8, Length: 1"
"6:59:10.9208143 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 9, Length: 1"
"6:59:10.9208307 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 10, Length: 5"
"6:59:10.9208351 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 15, Length: 1"
"6:59:10.9208386 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 16, Length: 4"
"6:59:10.9208420 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 20, Length: 4"
"6:59:10.9208453 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 24, Length: 4"
"6:59:10.9208486 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 28, Length: 4"
"6:59:10.9209340 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 0, Length: 2, Priority: Normal"
"6:59:10.9209395 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 2, Length: 1"
"6:59:10.9209431 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 3, Length: 1"
"6:59:10.9209465 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 4, Length: 4"
"6:59:10.9209499 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 8, Length: 1"
"6:59:10.9209532 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 9, Length: 1"
"6:59:10.9209669 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 10, Length: 5"
"6:59:10.9209702 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 15, Length: 1"
"6:59:10.9209736 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 16, Length: 4"
"6:59:10.9209770 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 20, Length: 4"
"6:59:10.9209804 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 24, Length: 4"
"6:59:10.9209837 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 28, Length: 4"
"6:59:10.9211240 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 0, Length: 2, Priority: Normal"
"6:59:10.9211354 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 2, Length: 1"
"6:59:10.9211404 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 3, Length: 1"
"6:59:10.9211441 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 4, Length: 4"
"6:59:10.9211476 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 8, Length: 1"
"6:59:10.9211511 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 9, Length: 1"
"6:59:10.9211685 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 10, Length: 5"
"6:59:10.9211720 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 15, Length: 1"
"6:59:10.9211755 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 16, Length: 4"
"6:59:10.9211792 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 20, Length: 4"
"6:59:10.9211827 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 24, Length: 4"
"6:59:10.9211860 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 28, Length: 4"
"6:59:10.9211893 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 32, Length: 4"
"6:59:10.9211930 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 36, Length: 50"
"6:59:10.9212987 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 86, Length: 4,096"
"6:59:10.9220286 PM","MCPro9.exe","42736","ReadFile","C:\Users\Art Dept\AppData\Local\Temp\McdBE13.CFG","SUCCESS","Offset: 0, Length: 141, Priority: Normal"
"6:59:10.9220598 PM","MCPro9.exe","42736","ReadFile","C:\Users\Art Dept\AppData\Local\Temp\McdBE13.CFG","END OF FILE","Offset: 141, Length: 4,096"
"6:59:10.9223731 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 4,182, Length: 4,096"
"6:59:10.9224558 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 8,278, Length: 4,096"
"6:59:10.9225884 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 12,374, Length: 4,096"
"6:59:10.9227963 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 16,470, Length: 4,096"
"6:59:10.9229271 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 20,566, Length: 4,096"
"6:59:10.9230832 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 24,662, Length: 4,096"
"6:59:10.9233344 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 28,758, Length: 4,096"
"6:59:10.9235196 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 32,854, Length: 4,096"
"6:59:10.9236557 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 36,950, Length: 4,096"
"6:59:10.9237773 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 41,046, Length: 4,096"
"6:59:10.9239005 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 45,142, Length: 4,096"
"6:59:10.9241186 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 49,238, Length: 4,096"
"6:59:10.9244471 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 53,334, Length: 4,096"
"6:59:10.9246523 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 57,430, Length: 4,096"
"6:59:10.9248085 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 61,526, Length: 4,096"
"6:59:10.9249581 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 65,622, Length: 4,096"
"6:59:10.9250954 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 69,718, Length: 4,096"
"6:59:10.9252226 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 73,814, Length: 4,096"
"6:59:10.9253661 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 77,910, Length: 4,096"
"6:59:10.9254847 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 82,006, Length: 4,096"
"6:59:10.9256064 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 86,102, Length: 4,096"
"6:59:10.9257501 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 90,198, Length: 4,096"
"6:59:10.9259809 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 94,294, Length: 4,096"
"6:59:10.9260883 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 98,390, Length: 4,096"
"6:59:10.9262877 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 102,486, Length: 4,096"
"6:59:10.9265585 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 106,582, Length: 4,002"
